method,parameter_name,parameter_days,level_one_half_life_days,order,fitted_feature_count,selected_ridge_penalty,validation_rmse_mw,feature_construction_seconds
Rolling Window Signature,window_days,7,,6,120,1778.2794100389228,3343.392941199802,0.2707746669984772
Rolling Window Signature,window_days,8,,6,120,177827.94100389228,3342.0330161850293,0.254878457999439
Rolling Window Signature,window_days,9,,6,120,177827.94100389228,3340.330871079997,0.25505612500273855
Rolling Window Signature,window_days,10,,6,120,100000.0,3335.6676915178246,0.25641308299964294
Rolling Window Signature,window_days,11,,6,120,5623.413251903491,3335.012408115288,0.2536680420016637
Rolling Window Signature,window_days,12,,6,120,5623.413251903491,3306.8674235677986,0.25261295800009975
Rolling Window Signature,window_days,13,,6,120,5623.413251903491,3289.641877578527,0.25308441699598916
Rolling Window Signature,window_days,14,,6,120,5623.413251903491,3294.791966571228,0.2672340830031317
Rolling Window Signature,window_days,15,,6,120,5623.413251903491,3322.219475573755,0.269095333002042
Rolling Window Signature,window_days,16,,6,120,31622.776601683792,3336.577213883608,0.2523747910017846
Rolling Window Signature,window_days,17,,6,120,31622.776601683792,3338.374693072859,0.25756900000124006
Rolling Window Signature,window_days,18,,6,120,56234.13251903491,3339.3064325110945,0.2477115000001504
Rolling Window Signature,window_days,19,,6,120,31622.776601683792,3339.867701873752,0.25286100000084843
Rolling Window Signature,window_days,20,,6,120,31622.776601683792,3330.2955742188265,0.24743358300474938
Rolling Window Signature,window_days,21,,6,120,17782.794100389227,3309.3301803414042,0.24975829199684085
Rolling Window Signature,window_days,22,,6,120,10000.0,3303.9206810214278,0.24634900000091875
Rolling Window Signature,window_days,23,,6,120,5623.413251903491,3312.861166886536,0.24961262500437442
Rolling Window Signature,window_days,24,,6,120,5623.413251903491,3311.370753692695,0.26507487499475246
Rolling Window Signature,window_days,25,,6,120,5623.413251903491,3293.4942399510514,0.24794620900502196
Rolling Window Signature,window_days,26,,6,120,5623.413251903491,3299.5266436549578,0.2413246669966611
Rolling Window Signature,window_days,27,,6,120,5623.413251903491,3333.42615619995,0.24662329200509703
Rolling Window Signature,window_days,28,,6,120,5623.413251903491,3354.0489855477313,0.25172483299684245
Rolling Window Signature,window_days,29,,6,120,1000.0,3350.7161395680346,0.243283458003134
Rolling Window Signature,window_days,30,,6,120,1000.0,3366.622734664798,0.25465641699702246
Rolling Window Signature,window_days,31,,6,120,1778.2794100389228,3367.56257279754,0.24394208299781894
Rolling Window Signature,window_days,32,,6,120,5623.413251903491,3346.0510118297448,0.25472687499859603
Rolling Window Signature,window_days,33,,6,120,3162.2776601683795,3333.1297821406656,0.24429670800600434
Rolling Window Signature,window_days,34,,6,120,1778.2794100389228,3345.958975652722,0.25712816700252006
Rolling Window Signature,window_days,35,,6,120,1778.2794100389228,3334.0674543450614,0.24743291699996917
Rolling Window Signature,window_days,36,,6,120,1778.2794100389228,3325.123589035203,0.24946262500452576
Rolling Window Signature,window_days,37,,6,120,1778.2794100389228,3371.954743217726,0.2486936670029536
Fading Memory Signature,level_one_1pct_horizon_days,7,1.053604984823934,6,120,31622.776601683792,3450.482130297512,0.310485082998639
Fading Memory Signature,level_one_1pct_horizon_days,8,1.2041199826559246,6,120,17782.794100389227,3404.470984094899,0.3075832909962628
Fading Memory Signature,level_one_1pct_horizon_days,9,1.3546349804879152,6,120,17782.794100389227,3368.2144559988797,0.30390949999855366
Fading Memory Signature,level_one_1pct_horizon_days,10,1.5051499783199058,6,120,10000.0,3341.7499947857737,0.30209491700225044
Fading Memory Signature,level_one_1pct_horizon_days,11,1.6556649761518965,6,120,10000.0,3318.8110584403853,0.2997839590025251
Fading Memory Signature,level_one_1pct_horizon_days,12,1.8061799739838869,6,120,10000.0,3302.4883403084004,0.3055276250015595
Fading Memory Signature,level_one_1pct_horizon_days,13,1.9566949718158775,6,120,10000.0,3291.140427367342,0.3081278329991619
Fading Memory Signature,level_one_1pct_horizon_days,14,2.107209969647868,6,120,10000.0,3283.5228818691207,0.2969970830017701
Fading Memory Signature,level_one_1pct_horizon_days,15,2.2577249674798585,6,120,5623.413251903491,3277.156989590685,0.2975503329944331
Fading Memory Signature,level_one_1pct_horizon_days,16,2.408239965311849,6,120,5623.413251903491,3273.8586606975223,0.2958805420057615
Fading Memory Signature,level_one_1pct_horizon_days,17,2.5587549631438398,6,120,5623.413251903491,3273.186944539082,0.2999077499989653
Fading Memory Signature,level_one_1pct_horizon_days,18,2.7092699609758304,6,120,5623.413251903491,3274.6745274511054,0.2971404159980011
Fading Memory Signature,level_one_1pct_horizon_days,19,2.859784958807821,6,120,5623.413251903491,3277.8361842879626,0.29973354100366123
Fading Memory Signature,level_one_1pct_horizon_days,20,3.0102999566398116,6,120,5623.413251903491,3282.174890668602,0.3103884999945876
Fading Memory Signature,level_one_1pct_horizon_days,21,3.1608149544718023,6,120,10000.0,3286.98629514996,0.31106095900031505
Fading Memory Signature,level_one_1pct_horizon_days,22,3.311329952303793,6,120,10000.0,3291.6608704532327,0.31153570800233865
Fading Memory Signature,level_one_1pct_horizon_days,23,3.4618449501357835,6,120,10000.0,3296.53288928302,0.308142375004536
Fading Memory Signature,level_one_1pct_horizon_days,24,3.6123599479677737,6,120,10000.0,3301.3835933176065,0.31372504199680407
Fading Memory Signature,level_one_1pct_horizon_days,25,3.762874945799765,6,120,10000.0,3306.038518325904,0.2992759999979171
