alpha,window_days,order,best_penalty,validation_rmse_mw,test_rmse_mw,mode
0.005,2,5,59.636233165946365,1387.687690088057,1580.808550793831,faithful
0.05,2,5,0.15998587196060574,1963.7478718589093,2317.9253437641314,faithful
0.005,3,5,0.001,1226.5230259729963,1350.5785148287628,faithful
0.05,3,5,0.001,1568.644028483186,1831.2095858612342,faithful
0.005,4,5,0.001,1134.418551055893,1194.0193366417996,faithful
0.05,4,5,0.28117686979742307,1660.7214099245277,1950.761560656282,faithful
0.005,5,5,0.001,1074.0010893653814,1102.2997386158252,faithful
0.05,5,5,33.9322177189533,1772.866230124869,2016.310916838204,faithful
0.005,6,5,0.001,1037.5532956866314,1080.974636774939,faithful
0.05,6,5,0.655128556859551,1985.9915962319055,2130.9445726971658,faithful
0.005,7,5,79.06043210907701,1021.4062782066641,1066.8450704854122,faithful
0.05,7,5,0.3727593720314938,2107.4119010710992,2158.4371903773535,faithful
0.005,8,5,0.001,1030.9918585755931,1038.725052892309,faithful
0.05,8,5,0.15998587196060574,2202.7800184318726,2258.9808460836484,faithful
0.005,9,5,0.001,1022.8372446163352,1011.2613647792753,faithful
0.05,9,5,0.3727593720314938,2310.8303642970245,2469.3100762432714,faithful
0.005,10,5,0.001,996.585999545185,1019.5269471332134,faithful
0.05,10,5,0.49417133613238334,2421.223935775021,2678.904559988148,faithful
0.005,11,5,0.001,985.3996460817431,1030.363413365617,faithful
0.05,11,5,0.49417133613238334,2581.7538336323387,2743.3016398073373,faithful
0.005,12,5,0.3727593720314938,987.6398836568458,1038.2705433166493,faithful
0.05,12,5,0.655128556859551,2777.4330025478066,2745.7926725340158,faithful
0.005,13,5,0.3727593720314938,1011.6483683142258,1057.6810454388856,faithful
0.05,13,5,0.868511373751352,2920.734533076427,2734.877011281366,faithful
0.005,14,5,0.49417133613238334,1045.9505263654216,1076.4214602560799,faithful
0.05,14,5,2.6826957952797246,2958.498898640937,2746.44097514417,faithful
0.005,15,5,1.151395399326447,1074.010052535573,1092.6351578841366,faithful
0.05,15,5,8.286427728546842,2975.374427712646,2879.288465057164,faithful
0.005,16,5,1.5264179671752334,1095.7991531038072,1116.300741756411,faithful
0.05,16,5,138.9495494373136,2960.3234792560033,3014.4048566671836,faithful
0.005,17,5,2.023589647725158,1105.5246802740337,1146.0307494883373,faithful
0.05,17,5,244.205309454865,2978.061138544981,3053.631481468925,faithful
0.005,18,5,2.023589647725158,1122.5744966094812,1169.42301364497,faithful
0.05,18,5,244.205309454865,3019.6737959618413,2993.893419645311,faithful
0.005,19,5,2.6826957952797246,1134.3263249286445,1188.5230895878287,faithful
0.05,19,5,0.001,2990.324726492204,2922.434896782897,faithful
0.005,20,5,2.6826957952797246,1145.7740854080814,1193.3052680557564,faithful
0.05,20,5,0.49417133613238334,3025.985524031732,2894.573208743284,faithful
0.005,21,5,2.6826957952797246,1149.3308325643225,1202.6658351582817,faithful
0.05,21,5,1.151395399326447,2978.5714902322998,2927.6679187409836,faithful
0.005,22,5,2.023589647725158,1143.0239803622528,1219.3038729386965,faithful
0.05,22,5,1.5264179671752334,2949.529933762201,2983.114784078442,faithful
0.005,23,5,1.5264179671752334,1154.1051217850772,1245.2782897208144,faithful
0.05,23,5,4.714866363457395,2990.0691470762254,3004.775618293883,faithful
0.005,24,5,1.151395399326447,1162.9597696632495,1264.4391669953466,faithful
0.05,24,5,2.6826957952797246,2942.428940399672,2987.1901737693606,faithful
0.005,25,5,0.49417133613238334,1179.8800710040675,1274.160659277893,faithful
0.05,25,5,4.714866363457395,2937.6844100388194,3022.583535321418,faithful
0.005,26,5,0.001,1186.7189263566522,1303.8567245127572,faithful
0.05,26,5,8.286427728546842,2961.2856893018397,3072.560402304625,faithful
0.005,27,5,0.001,1194.166375484009,1327.1018549259848,faithful
0.05,27,5,10.985411419875572,2981.979117683458,3053.2673211872698,faithful
0.005,28,5,0.001,1217.7268728764643,1346.0275345647306,faithful
0.05,28,5,6.25055192527397,2975.164327896025,3000.3759557226113,faithful
0.005,29,5,0.001,1231.5632538098744,1349.0685718197046,faithful
0.05,29,5,4.714866363457395,2960.960751063785,2990.0330112028496,faithful
0.005,30,5,0.001,1251.3966854826945,1342.2901204708658,faithful
0.05,30,5,4.714866363457395,2984.937119876895,2990.736289118766,faithful
0.005,31,5,0.001,1288.4861408508864,1336.8245465579512,faithful
0.05,31,5,2.6826957952797246,3025.4822698565613,2900.222165639802,faithful
0.005,32,5,0.001,1291.7474130392372,1323.3095941478607,faithful
0.05,32,5,2.023589647725158,2998.7752294635975,2904.062685928108,faithful
