window_days,order,fitted_feature_count,best_penalty,validation_rmse_mw,test_rmse_mw,mode
2,2,4,1000.0,1434.7000490318105,1628.2400063770085,faithful
2,3,11,1000.0,1414.7271375707421,1621.3676902012648,faithful
2,4,26,54.555947811685144,1383.7364928589793,1577.5589798007372,faithful
2,5,57,54.555947811685144,1387.7616565918806,1580.6120374842885,faithful
2,6,120,1.1288378916846888,1384.6259156607885,1934.5441356960946,faithful
2,7,247,1000.0,1399.6591649049337,2167.5942723139597,faithful
3,2,4,1000.0,1332.8332863503838,1490.558194474143,faithful
3,3,11,615.8482110660261,1299.4414999181372,1461.1272567144144,faithful
3,4,26,54.555947811685144,1238.8314514136532,1372.777235773253,faithful
3,5,57,0.1,1226.5815097363134,1350.5242994595565,faithful
3,6,120,12.742749857031335,1213.3545389643875,1348.861099839486,faithful
3,7,247,0.1,1236.922409737506,2798.844747192179,faithful
4,2,4,1000.0,1296.1359266816592,1393.7447864308535,faithful
4,3,11,143.8449888287663,1212.0435467656255,1315.4263455951889,faithful
4,4,26,54.555947811685144,1181.8650576621806,1259.5992444881908,faithful
4,5,57,0.1,1134.5470299319484,1193.9492715502768,faithful
4,6,120,0.1,1118.9347643960696,1214.2512106968588,faithful
4,7,247,1000.0,1147.5158357206421,1280.506833932312,faithful
5,2,4,1000.0,1276.9478117413598,1358.8714314395145,faithful
5,3,11,379.2690190732246,1155.6847649950926,1239.114277494401,faithful
5,4,26,615.8482110660261,1127.293786192447,1197.0933755376207,faithful
5,5,57,0.1,1074.082814299819,1102.258717298638,faithful
5,6,120,0.1,1059.24583510553,1111.2500028073437,faithful
5,7,247,1000.0,1078.517513625419,1111.5269089283147,faithful
6,2,4,1000.0,1260.7908256833055,1388.432696735818,faithful
6,3,11,1000.0,1131.3350364661726,1242.8717150921652,faithful
6,4,26,143.8449888287663,1087.6040451346346,1170.483801545905,faithful
6,5,57,0.1,1037.574582337062,1080.9787882875041,faithful
6,6,120,0.1,1019.0584618041631,1045.6738986427454,faithful
6,7,247,54.555947811685144,1031.6921075701282,1059.8554734954703,faithful
7,2,4,1000.0,1249.5577532520947,1403.6665218775277,faithful
7,3,11,1000.0,1139.9353729030875,1261.0817474596388,faithful
7,4,26,88.58667904100822,1060.2865259499192,1128.7313733229996,faithful
7,5,57,88.58667904100822,1021.3815152990953,1067.1691114094406,faithful
7,6,120,0.1,996.9867216513484,1015.1774165622519,faithful
7,7,247,0.1,984.2873013773255,1022.8033283692107,faithful
8,2,4,1000.0,1255.914817978206,1388.8056289897622,faithful
8,3,11,1000.0,1164.0488968284992,1282.3241776117882,faithful
8,4,26,88.58667904100822,1042.329497280583,1104.0110847378778,faithful
8,5,57,0.1,1031.0140306372004,1038.6998496562844,faithful
8,6,120,0.1,1007.8787417884573,980.5293961138905,faithful
8,7,247,0.1,987.0545732955325,1016.0430170933371,faithful
9,2,4,1000.0,1283.6982684080235,1360.210387080363,faithful
9,3,11,1000.0,1191.895903658495,1288.3501006755127,faithful
9,4,26,88.58667904100822,1030.6269270428331,1086.0158640543639,faithful
9,5,57,0.1,1022.9265824376699,1011.1979154708922,faithful
9,6,120,0.1,1006.8079289154269,957.8645299367994,faithful
9,7,247,0.1,995.0954338741041,980.2016679211534,faithful
10,2,4,1000.0,1292.7229504480615,1381.3784273765157,faithful
10,3,11,1000.0,1221.7051685580186,1298.6478823260004,faithful
10,4,26,88.58667904100822,1026.1534316239738,1093.8860147437995,faithful
10,5,57,0.1,996.6488414220127,1019.5420778727347,faithful
10,6,120,0.1,994.9025581333199,967.4177905903742,faithful
10,7,247,0.26366508987303583,978.130652169532,969.2686407104264,faithful
11,2,4,1000.0,1297.8226118643095,1418.6045748806048,faithful
11,3,11,1000.0,1237.7989140881202,1320.271806536848,faithful
11,4,26,143.8449888287663,1033.8360397986778,1102.0023024266827,faithful
11,5,57,0.1,985.4179314364925,1030.3911035671083,faithful
11,6,120,0.1,987.5748105442603,973.0543142338445,faithful
11,7,247,0.16237767391887217,966.0161767280501,954.2117083377218,faithful
12,2,4,1000.0,1309.670064326915,1453.340068632739,faithful
12,3,11,1000.0,1253.1129446951581,1363.8684167793044,faithful
12,4,26,143.8449888287663,1043.7853919219147,1125.490266249184,faithful
12,5,57,0.42813323987193935,987.6416457472908,1038.2549490043202,faithful
12,6,120,0.1,980.6206034315481,974.2425468939223,faithful
12,7,247,0.1,960.3656381090626,942.8941996041135,faithful
13,2,4,1000.0,1339.1822234148135,1453.9394671110115,faithful
13,3,11,1000.0,1294.7714875340696,1395.6283025169528,faithful
13,4,26,143.8449888287663,1083.6795427270974,1143.6626835852517,faithful
13,5,57,0.26366508987303583,1011.653154836588,1057.8611170690453,faithful
13,6,120,0.1,988.1837469231448,964.2976037704698,faithful
13,7,247,0.1,977.2668700061199,971.9075125255116,faithful
14,2,4,1000.0,1361.7151857923234,1430.4725010910925,faithful
14,3,11,615.8482110660261,1334.195350459051,1402.380316953265,faithful
14,4,26,143.8449888287663,1118.582814679345,1159.4941955760526,faithful
14,5,57,0.42813323987193935,1045.9675261340383,1076.5732424269083,faithful
14,6,120,0.1,999.969824050209,964.7263015804009,faithful
14,7,247,0.1,1008.930812109025,995.3693834896226,faithful
15,2,4,1000.0,1375.9593359317757,1407.318629156007,faithful
15,3,11,0.1,1356.8003056021164,1399.646328952468,faithful
15,4,26,143.8449888287663,1134.6866838663093,1184.323088713102,faithful
15,5,57,1.1288378916846888,1074.0071161252133,1092.6467556465054,faithful
15,6,120,0.1,1010.5632986497877,978.4291780950178,faithful
15,7,247,0.1,1031.4212497249225,1002.3061437968913,faithful
16,2,4,1000.0,1380.6006578770211,1397.4904840806328,faithful
16,3,11,1000.0,1370.7021715922317,1388.1647903725384,faithful
16,4,26,143.8449888287663,1149.0754693553533,1207.0733779003292,faithful
16,5,57,1.8329807108324356,1095.8172644016488,1116.7643210193876,faithful
16,6,120,0.1,1012.9091007604904,987.5880232539657,faithful
16,7,247,0.1,1019.6595754717202,973.1770926528842,faithful
17,2,4,1000.0,1387.8365319709148,1408.350507771589,faithful
17,3,11,1000.0,1381.2373868280022,1396.1554533099113,faithful
17,4,26,143.8449888287663,1162.7283266511718,1245.961911251753,faithful
17,5,57,1.8329807108324356,1105.5127129649197,1145.5645853217832,faithful
17,6,120,0.1,1013.9479131995616,1008.9789723516394,faithful
17,7,247,0.1,998.7099755063451,997.4243904766683,faithful
18,2,4,1000.0,1399.8260442085223,1412.5380250277271,faithful
18,3,11,1000.0,1395.9143341834742,1401.8936838263508,faithful
18,4,26,88.58667904100822,1178.8835935002185,1276.8963451464335,faithful
18,5,57,1.8329807108324356,1122.5528328421592,1168.9482380379425,faithful
18,6,120,0.1,1021.9945332781998,1024.007197930242,faithful
18,7,247,0.1,1007.0305205804646,1011.3948923971699,faithful
19,2,4,1000.0,1411.0478040258138,1404.3097021563426,faithful
19,3,11,1000.0,1403.8027625698123,1389.8657667735,faithful
19,4,26,54.555947811685144,1183.3773272851608,1284.6819661969546,faithful
19,5,57,2.9763514416313175,1134.4715079158625,1189.0573049031307,faithful
19,6,120,0.1,1018.7057920349125,1032.7367535438825,faithful
19,7,247,0.1,1020.6914037016948,1036.1470641371664,faithful
20,2,4,1000.0,1430.0426356951896,1397.254265130667,faithful
20,3,11,1000.0,1418.355168056848,1377.5538226787035,faithful
20,4,26,33.59818286283781,1199.5524413205176,1290.556159709088,faithful
20,5,57,2.9763514416313175,1145.8679034918182,1193.5752617871058,faithful
20,6,120,0.1,1018.3184779938637,1052.036310255169,faithful
20,7,247,0.1,1042.40024614849,1056.5112610035524,faithful
21,2,4,1000.0,1445.7229471374378,1385.9109693842329,faithful
21,3,11,1000.0,1427.4872428987892,1366.7445335197565,faithful
21,4,26,7.847599703514611,1205.936551881411,1304.3318893929572,faithful
21,5,57,2.9763514416313175,1149.4724726258826,1203.0898570427694,faithful
21,6,120,0.1,1017.8213457298788,1079.1434405917544,faithful
21,7,247,0.1,1050.627362299197,1052.7075328907547,faithful
22,2,4,1000.0,1451.927498533597,1381.6861990996595,faithful
22,3,11,1000.0,1421.9882805220238,1365.6246541647447,faithful
22,4,26,0.1,1201.7971550208824,1312.9591629896636,faithful
22,5,57,1.8329807108324356,1143.0827331189669,1219.0836295027657,faithful
22,6,120,0.1,1027.842583068419,1079.8126700459413,faithful
22,7,247,0.1,1062.1794133818648,1063.0100179105161,faithful
23,2,4,1000.0,1461.7903305688974,1381.7094256843939,faithful
23,3,11,1000.0,1427.347838336417,1366.8727285308453,faithful
23,4,26,0.1,1219.0678199738581,1324.790158119398,faithful
23,5,57,1.1288378916846888,1154.1321216562667,1245.233118790059,faithful
23,6,120,0.1,1046.3082256747464,1094.0481517807086,faithful
23,7,247,0.1,1082.2797910895972,1090.3494557937977,faithful
24,2,4,1000.0,1468.3770048922477,1384.6616027499738,faithful
24,3,11,1000.0,1430.0955871641945,1371.128686908328,faithful
24,4,26,0.1,1229.2821246073197,1336.2597544977234,faithful
24,5,57,1.1288378916846888,1162.9574176628994,1264.4534610395133,faithful
24,6,120,0.1,1053.4364799402294,1103.4148123139405,faithful
24,7,247,0.1,1070.526358540757,1093.956441653278,faithful
25,2,4,1000.0,1470.2657854239644,1387.0600037609092,faithful
25,3,11,615.8482110660261,1423.4266198916418,1377.2480345394354,faithful
25,4,26,0.1,1239.1827908505522,1346.5698678311155,faithful
25,5,57,0.42813323987193935,1179.8792824298348,1274.3010493858972,faithful
25,6,120,0.1,1061.586369633793,1101.8500661236671,faithful
25,7,247,0.1,1078.1608775668442,1113.9447530516795,faithful
26,2,4,1000.0,1468.6671697020504,1391.974422474251,faithful
26,3,11,143.8449888287663,1409.3194235564533,1395.1763041312574,faithful
26,4,26,0.1,1248.0400541346687,1373.3505146540356,faithful
26,5,57,0.1,1186.8157464840474,1303.6460951314032,faithful
26,6,120,0.1,1068.4640875075852,1107.8380681042827,faithful
26,7,247,0.1,1089.288262066496,1111.0879520014446,faithful
27,2,4,1000.0,1469.086272108898,1394.3138731279848,faithful
27,3,11,143.8449888287663,1403.4367197652282,1408.7495687499136,faithful
27,4,26,0.1,1264.88497697328,1389.0667687223247,faithful
27,5,57,0.1,1194.4515521912665,1326.8598448769328,faithful
27,6,120,0.1,1090.1976638538001,1126.5340653446594,faithful
27,7,247,0.1,1101.0807406509243,1110.909611541159,faithful
28,2,4,1000.0,1469.9006978753698,1388.5356778467576,faithful
28,3,11,0.1,1398.5652054715738,1396.5786934567595,faithful
28,4,26,4.832930238571752,1280.265100666372,1373.5585511290226,faithful
28,5,57,0.1,1218.103853185122,1345.5945506172277,faithful
28,6,120,0.1,1115.1147918449656,1139.4187904722714,faithful
28,7,247,0.1,1109.0553658703432,1122.0233016910586,faithful
29,2,4,1000.0,1459.9211567070029,1384.7327945055295,faithful
29,3,11,0.1,1374.7863481228155,1391.1872238721862,faithful
29,4,26,88.58667904100822,1286.4928848404527,1363.9612096840747,faithful
29,5,57,0.1,1231.9212108912095,1348.5300144135717,faithful
29,6,120,0.1,1111.9831660928717,1146.9795580986213,faithful
29,7,247,0.1,1113.693154331532,1130.5271604610593,faithful
30,2,4,1000.0,1450.882156966302,1384.3301669975401,faithful
30,3,11,0.1,1360.4835410356227,1392.6323313128064,faithful
30,4,26,143.8449888287663,1305.7206480916773,1359.1789514718,faithful
30,5,57,0.1,1251.780768821634,1341.7640483754024,faithful
30,6,120,0.1,1138.5923219522997,1138.4961246222422,faithful
30,7,247,0.1,1132.6120869198314,1128.6783381969499,faithful
31,2,4,1000.0,1441.3938617601368,1388.1721743436128,faithful
31,3,11,0.1,1347.8038931771594,1386.102038757576,faithful
31,4,26,233.57214690901213,1327.9612816198196,1349.848187971201,faithful
31,5,57,0.1,1288.8640115670719,1336.2890643188287,faithful
